Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2012-01-31,684586.0,125366.0,267233.0,133131.0,9346.0,38124.0,88831.0,48213.0,81140.0,29717.0,13783.0,140944.0,637253.0,598783.0,47333.0,85803.0
2012-02-07,710111.0,122318.0,290439.0,132241.0,11362.0,38542.0,103312.0,40456.0,81186.0,32013.0,14123.0,147573.0,657185.0,623680.0,52927.0,86431.0
2012-02-14,756274.0,124986.0,307457.0,132650.0,12895.0,43972.0,113051.0,32009.0,96457.0,33396.0,14260.0,156059.0,700570.0,663109.0,55704.0,93165.0
2012-02-21,763912.0,120989.0,316013.0,129546.0,12487.0,45869.0,125310.0,28339.0,92166.0,32580.0,14106.0,161873.0,708332.0,670854.0,55579.0,93058.0
2012-02-28,737025.0,106948.0,327928.0,133193.0,13415.0,39428.0,141781.0,24103.0,84159.0,32555.0,14430.0,143152.0,681216.0,646616.0,55810.0,90409.0
2012-03-06,789533.0,108816.0,363441.0,133583.0,12975.0,43108.0,171396.0,15030.0,86829.0,33645.0,18531.0,153941.0,731319.0,693855.0,58214.0,95678.0
2012-03-13,846793.0,122829.0,393602.0,133605.0,15462.0,42300.0,189452.0,13361.0,89965.0,31567.0,19405.0,176294.0,786012.0,750389.0,60781.0,96404.0
2012-03-20,904276.0,136465.0,429176.0,134767.0,16247.0,42609.0,213407.0,12193.0,93244.0,32457.0,22243.0,186791.0,839740.0,802503.0,64536.0,101773.0
2012-03-27,939213.0,152373.0,456707.0,134361.0,16973.0,44035.0,216903.0,6901.0,104038.0,34810.0,21185.0,187055.0,873575.0,836894.0,65638.0,102319.0
2012-04-03,1048315.0,189969.0,509061.0,133053.0,16613.0,49420.0,240539.0,5152.0,108956.0,35950.0,26529.0,223786.0,981672.0,939517.0,66643.0,108798.0
2012-04-10,1095714.0,205769.0,508849.0,117602.0,16347.0,59095.0,250113.0,7440.0,121286.0,34269.0,34102.0,238029.0,1026163.0,985147.0,69551.0,110567.0
2012-04-17,1137348.0,213533.0,516478.0,116202.0,16314.0,64137.0,247306.0,6532.0,132811.0,39869.0,36484.0,249240.0,1063099.0,1021998.0,74249.0,115350.0
2012-04-24,1077314.0,210862.0,521216.0,118480.0,14884.0,55546.0,249694.0,6305.0,127519.0,43215.0,38673.0,196642.0,1001960.0,960785.0,75355.0,116529.0
2012-05-01,1112165.0,192831.0,523397.0,125420.0,15677.0,58524.0,261045.0,7156.0,139936.0,45512.0,39638.0,215667.0,1038935.0,999995.0,73230.0,112170.0
2012-05-08,1100686.0,208616.0,514179.0,123679.0,14747.0,59089.0,238303.0,7975.0,140302.0,45084.0,38689.0,211110.0,1026182.0,986091.0,74504.0,114595.0
2012-05-15,1104590.0,216493.0,509536.0,123183.0,13197.0,60976.0,223123.0,5035.0,135191.0,40192.0,38493.0,236435.0,1035594.0,998863.0,68996.0,105727.0
2012-05-22,1108738.0,211951.0,498502.0,123740.0,11499.0,62222.0,214768.0,12461.0,137540.0,41387.0,35671.0,244967.0,1036576.0,1002861.0,72162.0,105877.0
2012-05-29,1093933.0,213347.0,494360.0,122024.0,12077.0,60953.0,215036.0,13201.0,134164.0,38987.0,36448.0,239003.0,1023515.0,990206.0,70418.0,103727.0
2012-06-05,1082409.0,219059.0,476852.0,121447.0,10930.0,64854.0,193971.0,15000.0,136902.0,36048.0,38050.0,239793.0,1012075.0,982382.0,70335.0,100028.0
2012-06-12,1099528.0,202711.0,496531.0,121620.0,16115.0,56240.0,218940.0,5984.0,142533.0,37926.0,38746.0,242699.0,1022670.0,998849.0,76858.0,100679.0
2012-06-19,1116839.0,204491.0,505860.0,120203.0,16817.0,55552.0,220530.0,2976.0,152620.0,38633.0,38920.0,242775.0,1034805.0,1015521.0,82033.0,101318.0
2012-06-26,1046687.0,182070.0,502139.0,120813.0,18560.0,48317.0,238075.0,5486.0,140079.0,39082.0,40306.0,191874.0,960309.0,946761.0,86377.0,99926.0
2012-07-03,1105822.0,178738.0,521725.0,122781.0,23634.0,47306.0,254068.0,3986.0,148363.0,46375.0,41117.0,224362.0,1021994.0,1010494.0,83828.0,95328.0
2012-07-10,1177621.0,201065.0,528646.0,116047.0,38029.0,54146.0,255198.0,4406.0,152881.0,50301.0,46418.0,260479.0,1090119.0,1085006.0,87502.0,92615.0
2012-07-17,1257622.0,224590.0,555212.0,117310.0,43223.0,58940.0,257135.0,4196.0,162476.0,51652.0,48102.0,291078.0,1163181.0,1163227.0,94441.0,94395.0
2012-07-24,1259806.0,231350.0,542057.0,110089.0,41426.0,69035.0,245183.0,4317.0,165648.0,48360.0,43781.0,306467.0,1176132.0,1172731.0,83673.0,87075.0
2012-07-31,1165730.0,204367.0,509350.0,107976.0,43173.0,67766.0,244831.0,3743.0,137819.0,44355.0,46183.0,274839.0,1081952.0,1082874.0,83777.0,82856.0
2012-08-07,1140078.0,207097.0,487788.0,100437.0,45934.0,71273.0,231430.0,6696.0,135599.0,49012.0,46315.0,266214.0,1061062.0,1059819.0,79016.0,80259.0
2012-08-14,1140549.0,198710.0,478124.0,101423.0,49204.0,68339.0,234206.0,3661.0,131070.0,48769.0,47904.0,278060.0,1060577.0,1056362.0,79972.0,84187.0
2012-08-21,1231055.0,193219.0,500573.0,104474.0,50918.0,70252.0,254521.0,2133.0,147700.0,52912.0,50703.0,320194.0,1143272.0,1142472.0,87783.0,88583.0
2012-08-28,1156476.0,183496.0,477390.0,102633.0,48695.0,70535.0,238936.0,6396.0,134604.0,56107.0,51902.0,280466.0,1066778.0,1069988.0,89697.0,86487.0
2012-09-04,1197773.0,180449.0,484302.0,102018.0,45631.0,74239.0,242051.0,4380.0,144853.0,61084.0,52042.0,301163.0,1105857.0,1106609.0,91917.0,91164.0
2012-09-11,1168390.0,182906.0,470216.0,98169.0,44456.0,74169.0,231944.0,3125.0,141977.0,54621.0,49639.0,296660.0,1080447.0,1080241.0,87943.0,88149.0
2012-09-18,1157098.0,202176.0,459547.0,97168.0,43536.0,70306.0,216759.0,6884.0,134964.0,53039.0,48605.0,299212.0,1073624.0,1063054.0,83474.0,94044.0
2012-09-25,1136216.0,213859.0,453618.0,92702.0,54256.0,75773.0,198586.0,3184.0,133862.0,47061.0,28247.0,294543.0,1056385.0,1043482.0,79831.0,92734.0
2012-10-02,1125249.0,229452.0,456081.0,91364.0,49985.0,78055.0,186407.0,7665.0,133270.0,48166.0,27835.0,283097.0,1049810.0,1035989.0,75438.0,89260.0
